Env,Find,Replace
,[@'ECA-Portal-App-Security-Dev'],ECAPortalAppSecurity
,[@'ECA-Portal-App-Security-Prod'],ECAPortalAppSecurity
,[@'ECA-Portal-Data-Sources-Dev'],ECAPortalDataSources
,[@'ECA-Portal-Data-Sources-Prod'],ECAPortalDataSources
,[@'ECA-Portal-Document-Dev'],ECAPortalDocument
,[@'ECA-Portal-Document-Prod'],ECAPortalDocument
,[@'ECA-Portal-Phase-Dev'],ECAPortalPhase
,[@'ECA-Portal-Phase-Prod'],ECAPortalPhase
,[@'ECA-Portal-Projects-Dev'],ECAPortalProjects
,[@'ECA-Portal-Projects-Prod'],ECAPortalProjects
,[@'ECA-Portal-Requests-Dev'],ECAPortalRequests
,[@'ECA-Portal-Requests-Prod'],ECAPortalRequests
,[@'ECA-Portal-Resource-Dev'],ECAPortalResource
,[@'ECA-Portal-Resource-Prod'],ECAPortalResource
,[@'ECA-Portal-Security-Dev'],ECAPortalSecurity
,[@'ECA-Portal-Security-Prod'],ECAPortalSecurity
,'ECA-Portal-App-Security-Dev',ECAPortalAppSecurity
,'ECA-Portal-App-Security-Prod',ECAPortalAppSecurity
,'ECA-Portal-Data-Sources-Dev',ECAPortalDataSources
,'ECA-Portal-Data-Sources-Prod',ECAPortalDataSources
,'ECA-Portal-Document-Dev',ECAPortalDocument
,'ECA-Portal-Document-Prod',ECAPortalDocument
,'ECA-Portal-Phase-Dev',ECAPortalPhase
,'ECA-Portal-Phase-Prod',ECAPortalPhase
,'ECA-Portal-Projects-Dev',ECAPortalProjects
,'ECA-Portal-Projects-Prod',ECAPortalProjects
,'ECA-Portal-Requests-Dev',ECAPortalRequests
,'ECA-Portal-Requests-Prod',ECAPortalRequests
,'ECA-Portal-Resource-Dev',ECAPortalResource
,'ECA-Portal-Resource-Prod',ECAPortalResource
,'ECA-Portal-Security-Dev',ECAPortalSecurity
,'ECA-Portal-Security-Prod',ECAPortalSecurity
